t_rel_s,peticiones,tps,ok,err_408_presupuesto,err_429_cuota,err_5xx,err_conexion,p50_ms,p95_ms,p99_ms
0,3,3,3,0,0,0,0,25.96,78.97,78.97
1,11,11,11,0,0,0,0,28.81,35.42,35.47
2,19,19,19,0,0,0,0,27.08,30.7,32.16
3,26,26,26,0,0,0,0,28.65,35.05,36.29
4,34,34,34,0,0,0,0,29.05,37.2,38.96
5,41,41,41,0,0,0,0,27.79,35.78,39.88
6,49,49,49,0,0,0,0,29.3,35.74,36.97
7,56,56,56,0,0,0,0,34.21,61.68,64.36
8,64,64,64,0,0,0,0,30.18,39.78,40.4
9,71,71,71,0,0,0,0,35.22,41.96,44.53
10,75,75,75,0,0,0,0,36.56,45.62,48.8
11,75,75,75,0,0,0,0,36.73,45.52,47.71
12,75,75,75,0,0,0,0,212.69,442.88,472.33
13,75,75,75,0,0,0,0,159.79,408.98,424.27
14,75,75,75,0,0,0,0,31.62,38.41,40.29
15,75,75,75,0,0,0,0,33.08,43.42,44.01
16,75,75,75,0,0,0,0,59.15,102.28,106.93
17,75,75,75,0,0,0,0,88.88,127.92,131.49
18,75,75,75,0,0,0,0,97.99,206.02,254.68
19,75,75,41,34,0,0,0,561.58,621.81,632.58
20,75,75,69,6,0,0,0,452.08,616.53,623.59
21,75,75,75,0,0,0,0,97.7,266.54,320.41
22,75,75,75,0,0,0,0,37.22,46.59,46.92
23,75,75,75,0,0,0,0,41.14,82.93,89.96
24,75,75,75,0,0,0,0,34.46,43.06,44.6
25,75,75,75,0,0,0,0,43.26,62.69,70.3
26,75,75,75,0,0,0,0,56.82,77.49,85.09
27,75,75,75,0,0,0,0,64.2,87.91,95.68
28,75,75,75,0,0,0,0,74.73,145.69,158.24
29,75,75,75,0,0,0,0,35.34,44.23,45.81
30,75,75,75,0,0,0,0,34.43,43.43,43.99
31,75,75,75,0,0,0,0,35.27,43.42,49.98
32,75,75,75,0,0,0,0,37.79,46.13,49.46
33,75,75,75,0,0,0,0,36.12,43.36,45.07
34,75,75,75,0,0,0,0,34.37,43.54,44.92
35,75,75,75,0,0,0,0,36.83,43.45,46.32
36,75,75,75,0,0,0,0,34.96,43.28,45.05
37,75,75,75,0,0,0,0,36.77,44.88,46.55
38,75,75,75,0,0,0,0,44.78,456.34,588.56
39,75,75,75,0,0,0,0,249.42,347.26,377.72
40,75,75,75,0,0,0,0,39.84,102.88,115.12
41,75,75,75,0,0,0,0,36.47,43.86,46.78
42,75,75,75,0,0,0,0,36.84,44.29,44.95
43,75,75,75,0,0,0,0,37.71,46.16,47.92
44,75,75,75,0,0,0,0,36.13,43.3,45.7
45,75,75,75,0,0,0,0,38.84,56.43,63.99
46,75,75,75,0,0,0,0,34.37,41.36,42.14
47,75,75,75,0,0,0,0,35.86,42.18,45.92
48,75,75,75,0,0,0,0,36.12,43.53,44.76
49,75,75,75,0,0,0,0,34.39,43.49,48.15
50,75,75,75,0,0,0,0,38.43,62.41,72.25
51,75,75,75,0,0,0,0,36.55,45.69,47.86
52,75,75,75,0,0,0,0,37.21,44.5,46.6
53,75,75,75,0,0,0,0,38.22,44.79,48.17
54,75,75,75,0,0,0,0,36.1,42.88,44.59
55,75,75,75,0,0,0,0,35.31,44.07,49.78
56,75,75,75,0,0,0,0,35.6,44.2,46.22
57,75,75,75,0,0,0,0,37.39,46.86,50.13
58,75,75,75,0,0,0,0,36.52,47.86,56.06
59,75,75,75,0,0,0,0,36.96,44.42,46.37
60,75,75,75,0,0,0,0,37.56,45.84,49.45
61,75,75,75,0,0,0,0,36.72,43.59,45.99
62,75,75,75,0,0,0,0,37.33,44.37,46.37
63,75,75,75,0,0,0,0,37.61,46.76,51.84
64,75,75,75,0,0,0,0,34.53,41.28,43.08
65,75,75,75,0,0,0,0,36.75,45.92,49.85
66,75,75,75,0,0,0,0,36.0,44.54,45.2
67,75,75,75,0,0,0,0,33.97,43.4,49.47
68,75,75,75,0,0,0,0,36.51,44.66,50.2
69,75,75,75,0,0,0,0,36.22,42.93,44.57
