t_rel_s,peticiones,tps,ok,err_408_presupuesto,err_429_cuota,err_5xx,err_conexion,p50_ms,p95_ms,p99_ms
0,3,3,3,0,0,0,0,41.46,77.65,77.65
1,11,11,11,0,0,0,0,28.91,31.61,35.43
2,19,19,19,0,0,0,0,27.57,33.01,36.67
3,26,26,26,0,0,0,0,26.24,34.5,34.99
4,34,34,34,0,0,0,0,26.06,32.91,34.8
5,41,41,41,0,0,0,0,27.8,40.44,69.96
6,49,49,49,0,0,0,0,26.88,35.81,52.56
7,56,56,55,1,0,0,0,34.82,607.62,673.33
8,64,64,23,41,0,0,0,687.24,1275.0,1365.07
9,71,71,0,71,0,0,0,943.51,1281.7,1469.44
10,75,75,0,75,0,0,0,1179.97,1504.81,1695.8
11,75,75,0,75,0,0,0,1259.11,1785.06,1848.21
12,75,75,0,75,0,0,0,1583.85,1939.29,2217.86
13,75,75,0,75,0,0,0,1775.2,2273.91,2408.03
14,75,75,0,75,0,0,0,2033.08,2507.81,2745.07
15,75,75,0,75,0,0,0,2262.3,2749.81,2798.94
16,75,75,0,75,0,0,0,2579.42,3043.08,3324.42
17,75,75,0,75,0,0,0,2856.29,3302.59,3383.29
18,75,75,0,75,0,0,0,3038.57,3637.32,4011.37
19,75,75,0,75,0,0,0,3178.87,4083.32,4363.48
20,75,75,0,75,0,0,0,3588.69,4372.01,4658.83
21,75,75,0,75,0,0,0,3809.19,4442.07,4463.3
22,75,75,0,75,0,0,0,4192.02,4733.84,5216.2
23,62,62,0,62,0,0,0,3802.53,5002.42,5156.59
24,62,62,0,62,0,0,0,4022.04,5294.94,5391.79
25,61,61,0,61,0,0,0,4404.02,4982.12,5047.03
26,55,55,0,55,0,0,0,4266.1,5171.35,5241.2
27,70,70,0,70,0,0,0,4733.84,5274.87,5420.62
28,46,46,0,46,0,0,0,4753.91,5356.23,5694.51
29,53,53,0,53,0,0,0,4154.05,5084.29,5474.98
30,55,55,0,55,0,0,0,4284.02,5095.6,5217.18
31,53,53,0,53,0,0,0,4717.56,5150.44,5183.52
32,54,54,0,54,0,0,0,4671.82,5265.53,5464.39
33,62,62,0,62,0,0,0,4540.65,5290.84,5334.85
34,54,54,0,54,0,0,0,4767.68,5355.64,5533.59
35,49,49,0,49,0,0,0,4538.98,5659.58,5890.76
36,53,53,0,53,0,0,0,4869.86,5692.07,5741.37
37,56,56,0,56,0,0,0,4921.4,5307.84,5411.49
38,58,58,0,58,0,0,0,4728.88,5354.03,5570.79
39,51,51,0,51,0,0,0,5018.36,5409.84,5459.1
40,42,42,0,42,0,0,0,5009.51,5603.72,5974.95
41,47,47,0,47,0,0,0,4970.22,5526.37,5654.88
42,59,59,0,59,0,0,0,5111.75,5551.09,5872.09
43,56,56,0,56,0,0,0,5168.54,5888.16,5957.09
44,44,44,0,44,0,0,0,5059.0,5600.53,6038.23
45,46,46,0,46,0,0,0,5173.89,5826.49,6006.24
46,46,46,0,46,0,0,0,4851.18,5782.52,5915.49
47,57,57,0,57,0,0,0,4545.38,5368.24,5520.4
48,49,49,0,49,0,0,0,4058.98,4863.51,5063.07
49,46,46,0,46,0,0,0,3593.65,4413.03,4608.44
50,50,50,0,50,0,0,0,3331.59,3919.71,3999.45
51,67,67,0,67,0,0,0,2978.32,3380.14,3445.2
52,90,90,0,90,0,0,0,2959.04,3285.65,3456.94
53,76,76,0,76,0,0,0,2995.18,3232.93,3284.4
54,93,93,0,93,0,0,0,2696.23,3336.59,3472.59
55,93,93,0,93,0,0,0,2841.77,3262.6,3570.21
56,84,84,0,84,0,0,0,2739.61,3250.62,3743.49
57,90,90,0,90,0,0,0,2552.37,2970.25,3140.35
58,100,100,0,100,0,0,0,2742.55,3198.47,3288.01
59,95,95,0,95,0,0,0,3678.61,4785.06,4974.94
60,95,95,0,95,0,0,0,4188.49,4871.71,5101.56
61,54,54,0,54,0,0,0,4166.59,4942.48,5090.48
62,48,48,0,48,0,0,0,4069.55,4941.83,5248.8
63,40,40,0,40,0,0,0,3755.79,4880.3,5011.11
64,90,90,0,90,0,0,0,3978.62,4849.18,4880.94
65,62,62,0,62,0,0,0,3813.01,4857.73,4948.21
66,56,56,0,56,0,0,0,4426.17,4975.77,5084.08
67,52,52,0,52,0,0,0,3639.75,4792.89,4846.07
68,75,75,0,75,0,0,0,4347.86,4774.78,4992.33
69,71,71,0,71,0,0,0,3926.46,4812.07,4855.89
70,59,59,0,59,0,0,0,3764.77,4993.05,5114.87
71,62,62,0,62,0,0,0,3825.46,5128.59,5252.46
72,65,65,0,65,0,0,0,3792.71,5178.66,5294.46
73,60,60,0,60,0,0,0,3741.05,5220.71,5288.0
74,66,66,0,66,0,0,0,5038.57,5593.17,5697.67
75,53,53,0,53,0,0,0,5263.56,5654.7,5790.12
76,61,61,0,61,0,0,0,3962.44,5434.8,5556.16
77,61,61,0,61,0,0,0,5251.98,5765.52,5869.81
78,41,41,0,41,0,0,0,4274.39,5591.76,5875.16
79,50,50,0,50,0,0,0,4277.92,5692.84,5724.83
80,20,20,0,20,0,0,0,5437.01,5798.8,6080.7
