t_rel_s,peticiones,tps,ok,err_408_presupuesto,err_429_cuota,err_5xx,err_conexion,p50_ms,p95_ms,p99_ms
0,6,6,6,0,0,0,0,25.32,79.07,79.07
1,18,18,18,0,0,0,0,27.94,32.84,32.86
2,32,32,32,0,0,0,0,27.3,32.49,32.94
3,43,43,43,0,0,0,0,26.58,31.13,32.3
4,57,57,57,0,0,0,0,30.74,35.34,46.49
5,68,68,68,0,0,0,0,30.43,38.41,40.58
6,82,82,77,5,0,0,0,298.02,673.51,874.85
7,93,93,8,85,0,0,0,672.76,908.26,1211.92
8,106,106,0,106,0,0,0,739.64,1091.13,1222.82
9,119,119,0,119,0,0,0,972.24,1206.16,1401.65
10,125,125,0,125,0,0,0,1200.29,1571.45,1887.45
11,125,125,0,125,0,0,0,1396.49,1904.96,2303.14
12,125,125,0,125,0,0,0,1667.99,2143.81,2372.77
13,125,125,0,125,0,0,0,1894.77,2429.28,2634.64
14,125,125,0,125,0,0,0,2200.6,2894.34,3165.46
15,109,109,0,109,0,0,0,2455.81,3441.37,3971.64
16,93,93,0,93,0,0,0,3378.51,5010.66,5663.07
17,104,104,0,104,0,0,0,4853.92,6374.17,7619.43
18,78,78,0,78,0,0,0,6636.65,7768.67,14661.22
19,23,23,0,23,0,0,0,13172.93,15200.94,15733.7
20,40,40,0,40,0,0,0,12437.76,14290.07,14845.37
21,39,39,0,39,0,0,0,11633.42,13243.01,14395.34
22,44,44,0,44,0,0,0,10677.2,12762.85,13352.31
23,31,31,0,31,0,0,0,9475.8,11184.09,11543.65
24,23,23,0,23,0,0,0,8413.48,10371.13,11362.01
25,34,34,0,34,0,0,0,7471.95,9511.2,9835.57
26,17,17,0,17,0,0,0,6691.97,8395.71,8809.17
27,3,3,0,3,0,0,0,6056.46,6868.85,6868.85
28,8,8,0,8,0,0,0,1817.34,4938.09,4938.09
29,12,12,0,12,0,0,0,1740.44,3695.81,5949.04
30,21,21,0,21,0,0,0,2056.87,3355.12,4749.75
31,15,15,0,15,0,0,0,4142.09,5039.01,5508.4
32,101,101,17,84,0,0,0,5161.75,13104.78,15748.46
33,74,74,67,7,0,0,0,10107.75,16443.61,25433.67
34,44,44,42,2,0,0,0,8858.34,20755.41,26332.61
35,34,34,32,2,0,0,0,7829.52,13603.91,14715.84
36,26,26,26,0,0,0,0,6139.0,10449.18,19344.84
37,25,25,22,3,0,0,0,6409.2,14574.35,22175.84
38,32,32,31,1,0,0,0,5498.59,11521.38,18015.76
39,15,15,15,0,0,0,0,4113.46,9410.96,17289.26
40,24,24,23,1,0,0,0,2737.62,10635.78,12821.0
41,34,34,33,1,0,0,0,2762.67,7292.32,14061.58
42,49,49,44,5,0,0,0,1691.3,8022.45,13454.57
43,91,91,83,8,0,0,0,2996.54,12664.86,13499.09
44,67,67,64,3,0,0,0,2064.4,12602.15,13010.03
45,77,77,70,7,0,0,0,2150.65,10737.3,14403.47
46,81,81,63,18,0,0,0,1838.08,10862.96,14410.96
47,76,76,55,21,0,0,0,2002.68,10105.66,15075.09
48,56,56,38,18,0,0,0,2561.75,8772.37,8963.69
49,73,73,53,20,0,0,0,5783.47,11975.95,12562.93
50,65,65,58,7,0,0,0,5747.18,13025.51,16627.96
51,23,23,23,0,0,0,0,5004.27,12052.52,12871.95
52,24,24,24,0,0,0,0,3634.58,5113.02,9308.68
53,20,20,20,0,0,0,0,3483.59,7095.62,11005.98
54,19,19,17,2,0,0,0,2905.91,12207.03,13327.74
55,70,70,70,0,0,0,0,1199.44,6761.47,7614.44
56,138,138,128,10,0,0,0,1709.05,9541.05,12492.01
57,96,96,90,6,0,0,0,3745.25,8215.8,10544.77
58,43,43,39,4,0,0,0,2934.03,9733.46,11604.16
59,57,57,50,7,0,0,0,2649.36,7177.25,10043.22
60,62,62,50,12,0,0,0,2607.24,7918.06,8948.94
61,60,60,49,11,0,0,0,2106.41,5459.73,7294.26
62,101,101,63,38,0,0,0,1450.94,7897.08,11396.25
63,127,127,70,57,0,0,0,1440.27,7200.35,9563.33
64,102,102,20,82,0,0,0,2244.62,6948.44,7248.69
65,60,60,21,39,0,0,0,6317.83,19922.49,21436.55
66,66,66,52,14,0,0,0,9926.58,18804.85,20084.74
67,42,42,31,11,0,0,0,8739.09,19367.41,21461.95
68,37,37,21,16,0,0,0,10512.11,17232.72,17969.42
69,27,27,20,7,0,0,0,9343.72,17068.47,17127.38
70,20,20,15,5,0,0,0,6052.98,13467.92,17393.1
71,26,26,16,10,0,0,0,4851.89,17254.98,21693.2
72,17,17,11,6,0,0,0,6199.9,13830.97,14281.03
73,27,27,20,7,0,0,0,3641.62,20436.89,29219.74
74,31,31,19,12,0,0,0,2823.57,9499.52,14332.56
75,32,32,20,12,0,0,0,729.79,7076.19,10670.14
76,98,98,64,34,0,0,0,4213.16,10738.41,16458.94
77,46,46,24,22,0,0,0,4832.49,9709.03,15980.24
78,35,35,12,23,0,0,0,5083.8,15325.86,29538.27
79,16,16,6,10,0,0,0,4224.61,7419.96,10755.86
80,24,24,4,20,0,0,0,2957.08,6845.68,12766.55
81,48,48,10,38,0,0,0,2486.87,11371.1,19421.84
82,55,55,19,36,0,0,0,6703.4,15868.38,16361.69
83,63,63,37,26,0,0,0,8987.82,17989.83,18217.73
84,49,49,33,16,0,0,0,8161.33,21546.6,23173.37
85,35,35,22,13,0,0,0,7572.08,23255.29,27948.41
86,31,31,19,12,0,0,0,5847.96,13856.12,16763.59
87,22,22,10,12,0,0,0,6185.08,8118.36,17078.04
88,14,14,8,6,0,0,0,4068.39,13102.07,21237.13
89,19,19,11,8,0,0,0,4552.64,13464.82,18114.63
90,37,37,17,20,0,0,0,3310.38,12006.8,23449.8
91,55,55,24,31,0,0,0,2064.64,10172.0,19335.34
92,41,41,10,31,0,0,0,2113.63,8748.7,13573.12
93,85,85,65,20,0,0,0,7345.03,16572.3,18395.8
94,50,50,43,7,0,0,0,6139.82,19638.64,27233.79
95,34,34,33,1,0,0,0,5131.43,11256.67,15006.34
96,15,15,14,1,0,0,0,3568.1,10289.83,13598.09
97,11,11,8,3,0,0,0,4232.85,11147.34,15455.34
98,20,20,16,4,0,0,0,2719.36,14176.71,14995.31
99,50,50,42,8,0,0,0,2003.52,12388.24,13799.83
100,83,83,63,20,0,0,0,1883.37,11588.87,12291.32
101,97,97,51,46,0,0,0,6198.62,10566.23,12741.67
102,38,38,18,20,0,0,0,5998.59,10083.01,16372.72
103,21,21,8,13,0,0,0,5274.9,10701.37,15987.02
104,21,21,12,9,0,0,0,2241.66,6766.48,9080.54
105,22,22,10,12,0,0,0,2767.89,7714.07,10421.53
106,41,41,8,33,0,0,0,3098.67,7732.42,14315.57
107,40,40,6,34,0,0,0,2603.44,6010.91,6471.03
108,78,78,42,36,0,0,0,9699.33,17855.6,20999.9
109,51,51,34,17,0,0,0,8480.73,16068.92,19893.95
110,38,38,23,15,0,0,0,9247.37,18548.17,20080.34
111,29,29,13,16,0,0,0,8157.07,17168.06,23125.1
112,27,27,10,17,0,0,0,7402.44,9745.44,11086.57
113,21,21,11,10,0,0,0,4595.76,9096.04,18808.09
114,18,18,10,8,0,0,0,4108.17,7286.45,7956.16
115,24,24,13,11,0,0,0,3651.65,13255.3,18471.82
116,35,35,15,20,0,0,0,3478.94,8138.43,17111.32
117,61,61,20,41,0,0,0,2888.39,10452.91,17564.82
118,31,31,5,26,0,0,0,1675.19,9123.37,11869.01
119,69,69,39,30,0,0,0,5767.79,14121.71,14600.84
120,70,70,70,0,0,0,0,8266.92,14653.08,14924.39
121,41,41,41,0,0,0,0,6495.79,13066.53,13923.67
122,40,40,40,0,0,0,0,6731.26,11820.76,12078.83
123,26,26,26,0,0,0,0,4968.19,9660.41,10700.12
124,7,7,7,0,0,0,0,2995.24,9991.93,9991.93
125,17,17,17,0,0,0,0,2576.56,5181.55,5578.21
126,29,29,29,0,0,0,0,1889.36,8467.67,8581.13
127,53,53,53,0,0,0,0,1802.97,6542.67,7605.78
128,139,139,139,0,0,0,0,1400.04,6663.12,6929.98
129,85,85,85,0,0,0,0,1931.05,5721.24,6310.48
130,79,79,79,0,0,0,0,2573.39,4532.75,5236.87
131,81,81,81,0,0,0,0,2436.07,3834.98,4088.51
132,69,69,69,0,0,0,0,1831.11,2975.66,3214.94
133,91,91,91,0,0,0,0,1107.95,2062.03,2136.65
134,125,125,125,0,0,0,0,645.14,1233.26,1298.28
