t_rel_s,peticiones,tps,ok,err_408_presupuesto,err_429_cuota,err_5xx,err_conexion,p50_ms,p95_ms,p99_ms
0,4,4,4,0,0,0,0,31.76,74.11,74.11
1,15,15,15,0,0,0,0,25.87,31.71,32.04
2,25,25,25,0,0,0,0,24.09,30.1,30.95
3,35,35,35,0,0,0,0,24.61,32.54,34.46
4,45,45,45,0,0,0,0,29.53,36.46,38.04
5,55,55,55,0,0,0,0,31.42,35.61,37.71
6,65,65,65,0,0,0,0,28.16,37.53,38.81
7,75,75,73,2,0,0,0,110.1,644.55,876.18
8,85,85,21,64,0,0,0,609.76,842.42,1034.28
9,95,95,0,95,0,0,0,703.84,1044.78,1253.97
10,100,100,0,100,0,0,0,788.47,1086.2,1225.38
11,100,100,0,100,0,0,0,947.55,1223.09,1479.36
12,100,100,0,100,0,0,0,1073.25,1489.77,1674.5
13,100,100,0,100,0,0,0,1197.41,1683.01,1993.02
14,100,100,0,100,0,0,0,1408.08,1764.31,2227.77
15,100,100,0,100,0,0,0,1509.18,2023.32,2200.1
16,100,100,0,100,0,0,0,1668.22,2097.1,2575.06
17,100,100,0,100,0,0,0,1759.93,2268.21,2642.57
18,100,100,0,100,0,0,0,2002.44,2456.8,3130.09
19,100,100,0,100,0,0,0,2182.86,2536.06,2971.63
20,100,100,0,100,0,0,0,2397.21,2621.23,2842.93
21,100,100,0,100,0,0,0,2446.93,2920.1,3238.21
22,100,100,0,100,0,0,0,2528.7,2907.51,2975.94
23,100,100,0,100,0,0,0,2699.11,3069.19,3427.04
24,95,95,0,95,0,0,0,2759.72,3187.65,3603.49
25,87,87,0,87,0,0,0,3031.55,3358.21,3502.68
26,89,89,0,89,0,0,0,3093.05,3680.58,3723.02
27,85,85,0,85,0,0,0,2862.26,3680.65,3856.48
28,79,79,0,79,0,0,0,3382.94,3705.73,3940.97
29,80,80,0,80,0,0,0,2836.73,3902.29,4052.49
30,82,82,0,82,0,0,0,2953.56,3773.69,3877.1
31,76,76,0,76,0,0,0,3580.31,3818.66,3890.87
32,91,91,0,91,0,0,0,3067.32,4003.04,4125.54
