t_rel_s,peticiones,tps,ok,err_408_presupuesto,err_429_cuota,err_5xx,err_conexion,p50_ms,p95_ms,p99_ms
0,6,6,6,0,0,0,0,30.25,101.63,101.63
1,18,18,18,0,0,0,0,27.26,32.57,32.81
2,32,32,32,0,0,0,0,29.74,32.72,34.05
3,43,43,43,0,0,0,0,30.55,35.69,55.56
4,57,57,57,0,0,0,0,29.35,36.51,38.48
5,68,68,68,0,0,0,0,33.73,45.95,52.69
6,81,81,45,36,0,0,0,541.81,832.9,907.23
7,94,94,0,94,0,0,0,730.69,949.25,1097.55
8,107,107,0,107,0,0,0,870.72,1031.67,1123.83
9,118,118,0,118,0,0,0,1076.39,1322.33,1456.72
10,125,125,0,125,0,0,0,1435.57,1748.57,1896.75
11,125,125,0,125,0,0,0,1685.51,1968.05,2269.99
12,125,125,0,125,0,0,0,1978.78,2400.14,2543.91
13,125,125,0,125,0,0,0,2306.92,2744.45,3039.94
14,112,112,0,112,0,0,0,2508.63,2840.13,3293.25
15,93,93,0,93,0,0,0,2610.83,3097.16,3277.01
16,97,97,0,97,0,0,0,3067.56,6446.59,6872.04
17,90,90,0,90,0,0,0,6610.15,8679.05,9165.39
18,85,85,0,85,0,0,0,7470.18,8489.02,8611.88
19,34,34,0,34,0,0,0,14310.85,15595.21,16385.33
20,18,18,0,18,0,0,0,13832.1,15583.3,15792.78
21,11,11,0,11,0,0,0,13206.18,14992.32,15049.46
22,17,17,0,17,0,0,0,11750.42,14509.78,14548.56
23,39,39,0,39,0,0,0,10474.4,12093.0,12220.97
24,41,41,0,41,0,0,0,9506.9,11463.08,15452.72
25,41,41,0,41,0,0,0,8630.48,10858.49,12159.42
26,41,41,0,41,0,0,0,7794.81,9498.62,10271.09
27,14,14,0,14,0,0,0,6785.72,9066.0,9073.17
28,2,2,0,2,0,0,0,2104.31,4750.78,4750.78
29,10,10,0,10,0,0,0,3640.15,6858.78,6858.78
30,8,8,0,8,0,0,0,1576.42,4020.1,4020.1
31,11,11,0,11,0,0,0,2129.41,2802.68,3305.96
32,19,19,0,19,0,0,0,3671.69,4219.71,4367.12
33,83,83,4,79,0,0,0,4717.25,6420.44,10654.78
34,90,90,61,29,0,0,0,10148.08,15842.7,18271.61
35,47,47,41,6,0,0,0,9904.43,13971.73,19854.81
36,31,31,24,7,0,0,0,8402.59,11175.37,13702.49
37,29,29,22,7,0,0,0,6820.44,10149.39,14101.4
38,28,28,25,3,0,0,0,7225.41,10649.12,11640.54
39,26,26,23,3,0,0,0,5348.64,9809.49,10572.66
40,9,9,6,3,0,0,0,5002.36,14362.15,14362.15
41,6,6,5,1,0,0,0,2641.04,5577.92,5577.92
42,16,16,13,3,0,0,0,2447.4,6479.54,6566.01
43,35,35,33,2,0,0,0,2037.79,6419.62,9684.63
44,103,103,96,7,0,0,0,1412.77,5733.41,8912.86
45,120,120,105,15,0,0,0,1550.13,6842.88,10926.14
46,120,120,88,32,0,0,0,1746.38,7975.23,8393.21
47,123,123,76,47,0,0,0,1524.2,7420.75,13542.19
48,115,115,38,77,0,0,0,2224.47,7361.18,15928.81
49,44,44,6,38,0,0,0,2056.32,6325.74,13058.87
