t_rel_s,peticiones,tps,ok,err_408_presupuesto,err_429_cuota,err_5xx,err_conexion,p50_ms,p95_ms,p99_ms
0,6,6,6,0,0,0,0,30.42,85.14,85.14
1,18,18,18,0,0,0,0,28.34,32.83,37.24
2,32,32,32,0,0,0,0,29.61,34.22,35.48
3,43,43,43,0,0,0,0,26.96,36.04,54.22
4,56,56,56,0,0,0,0,28.24,36.11,37.02
5,69,69,69,0,0,0,0,33.81,42.04,47.03
6,82,82,57,25,0,0,0,336.12,764.75,808.87
7,93,93,3,90,0,0,0,708.64,845.99,1038.67
8,106,106,0,106,0,0,0,812.73,1006.27,1087.85
9,119,119,0,119,0,0,0,1033.62,1339.74,1656.25
10,125,125,0,125,0,0,0,1348.01,1656.43,1893.37
11,125,125,0,125,0,0,0,1592.75,1887.05,2365.23
12,125,125,0,125,0,0,0,1870.43,2332.98,2606.15
13,125,125,0,125,0,0,0,2225.74,2526.28,3002.08
14,118,118,0,118,0,0,0,2444.11,2903.26,3252.75
15,92,92,0,92,0,0,0,2608.33,3490.52,4059.18
16,107,107,0,107,0,0,0,3865.35,6018.48,6742.99
17,85,85,0,85,0,0,0,6580.84,13272.64,13735.22
18,65,65,0,65,0,0,0,11668.16,13949.66,14659.7
19,32,32,0,32,0,0,0,11622.31,13226.16,14322.13
20,27,27,0,27,0,0,0,10987.83,12965.07,13561.45
21,21,21,0,21,0,0,0,9520.75,10702.52,11014.04
22,24,24,0,24,0,0,0,8688.28,10805.59,11421.75
23,28,28,0,28,0,0,0,7668.84,9671.09,9795.01
24,45,45,0,45,0,0,0,6859.5,8111.59,8691.69
25,22,22,0,22,0,0,0,6039.38,7724.14,7902.82
27,9,9,0,9,0,0,0,3088.91,4669.49,4669.49
28,9,9,0,9,0,0,0,1989.7,4145.28,4145.28
29,13,13,0,13,0,0,0,1401.46,2360.18,2902.8
30,74,74,0,74,0,0,0,3127.66,4819.06,5115.13
31,131,131,9,122,0,0,0,6234.58,19972.42,34484.07
32,48,48,15,33,0,0,0,11042.93,20122.19,21509.86
33,35,35,16,19,0,0,0,10193.94,19731.4,24422.46
