t_rel_s,peticiones,tps,ok,err_408_presupuesto,err_429_cuota,err_5xx,err_conexion,p50_ms,p95_ms,p99_ms
0,3,3,3,0,0,0,0,30.35,77.04,77.04
1,11,11,11,0,0,0,0,28.63,31.76,34.87
2,19,19,19,0,0,0,0,27.21,32.2,33.16
3,26,26,26,0,0,0,0,28.5,33.33,35.51
4,34,34,34,0,0,0,0,29.33,31.8,33.84
5,41,41,41,0,0,0,0,27.77,32.13,34.97
6,49,49,49,0,0,0,0,28.99,36.95,48.24
7,56,56,56,0,0,0,0,29.88,43.82,49.01
8,64,64,64,0,0,0,0,31.08,34.89,35.75
9,71,71,71,0,0,0,0,31.28,37.15,39.09
10,75,75,75,0,0,0,0,100.25,352.98,435.27
11,75,75,75,0,0,0,0,240.52,319.95,333.38
12,75,75,75,0,0,0,0,35.35,84.04,104.77
13,75,75,75,0,0,0,0,33.38,41.88,50.65
14,75,75,75,0,0,0,0,32.37,38.22,40.8
15,75,75,75,0,0,0,0,32.2,39.59,42.65
16,75,75,75,0,0,0,0,34.04,39.89,42.37
17,75,75,75,0,0,0,0,32.64,37.25,38.16
18,75,75,75,0,0,0,0,31.25,38.34,41.06
19,75,75,75,0,0,0,0,31.55,37.06,38.64
20,75,75,75,0,0,0,0,32.98,37.2,38.1
21,75,75,75,0,0,0,0,32.66,40.5,48.33
22,75,75,75,0,0,0,0,32.81,50.31,55.88
23,75,75,75,0,0,0,0,33.65,39.25,45.84
24,75,75,75,0,0,0,0,35.43,138.87,218.73
25,75,75,75,0,0,0,0,149.36,224.07,241.68
26,75,75,75,0,0,0,0,31.45,38.13,46.92
27,75,75,75,0,0,0,0,33.0,37.5,38.47
28,75,75,75,0,0,0,0,30.98,39.17,40.57
29,75,75,75,0,0,0,0,32.78,37.15,38.58
30,75,75,75,0,0,0,0,34.58,43.43,45.29
31,75,75,75,0,0,0,0,35.28,43.15,46.54
32,75,75,75,0,0,0,0,34.38,42.2,43.05
33,75,75,75,0,0,0,0,34.91,41.92,43.57
34,75,75,75,0,0,0,0,33.78,40.14,40.92
35,75,75,75,0,0,0,0,34.87,74.48,369.33
36,75,75,75,0,0,0,0,166.13,283.54,319.65
37,75,75,75,0,0,0,0,36.0,77.56,102.84
38,75,75,75,0,0,0,0,32.51,39.01,39.48
39,75,75,75,0,0,0,0,34.04,39.59,41.3
40,75,75,75,0,0,0,0,33.45,39.15,40.1
41,75,75,75,0,0,0,0,33.72,40.26,40.64
42,75,75,75,0,0,0,0,34.36,38.55,40.25
43,75,75,75,0,0,0,0,33.02,42.11,43.78
44,75,75,75,0,0,0,0,34.0,39.39,41.62
45,75,75,75,0,0,0,0,33.84,39.87,42.11
46,75,75,75,0,0,0,0,32.55,39.12,41.7
47,75,75,75,0,0,0,0,41.65,73.91,126.12
48,75,75,75,0,0,0,0,33.44,38.38,41.08
49,75,75,75,0,0,0,0,32.41,39.94,42.45
50,75,75,75,0,0,0,0,33.33,40.13,40.55
51,75,75,75,0,0,0,0,68.25,223.62,317.43
52,68,68,68,0,0,0,0,213.56,4775.1,6697.53
53,75,75,75,0,0,0,0,2697.7,7575.28,11114.56
54,81,81,81,0,0,0,0,2599.95,10346.53,13459.73
55,69,69,69,0,0,0,0,2349.08,8402.57,12939.11
56,81,81,81,0,0,0,0,2328.34,7979.38,10525.03
57,73,73,73,0,0,0,0,2786.37,9093.17,10348.97
58,73,73,73,0,0,0,0,3069.42,8566.85,11567.4
59,77,77,77,0,0,0,0,2976.62,8840.35,10103.91
60,62,62,62,0,0,0,0,2801.16,7460.71,7681.71
61,53,53,53,0,0,0,0,1754.84,6326.31,7829.69
62,83,83,83,0,0,0,0,2042.29,6720.83,7403.28
63,102,102,102,0,0,0,0,3673.25,6989.81,7244.26
64,62,62,62,0,0,0,0,2713.23,5315.77,5867.91
65,53,53,53,0,0,0,0,2428.92,4380.4,5056.51
66,83,83,83,0,0,0,0,1950.81,3809.98,4147.1
67,78,78,78,0,0,0,0,1272.3,3234.58,3298.23
68,100,100,100,0,0,0,0,1183.23,2141.19,2482.36
69,76,76,76,0,0,0,0,599.38,1301.75,1527.96
