t_rel_s,peticiones,tps,ok,err_408_presupuesto,err_429_cuota,err_5xx,err_conexion,p50_ms,p95_ms,p99_ms
0,1,1,1,0,0,0,0,74.94,74.94,74.94
1,1,1,1,0,0,0,0,38.27,38.27,38.27
2,1,1,1,0,0,0,0,32.94,32.94,32.94
3,1,1,1,0,0,0,0,23.72,23.72,23.72
4,1,1,1,0,0,0,0,20.58,20.58,20.58
5,1,1,1,0,0,0,0,32.51,32.51,32.51
6,1,1,1,0,0,0,0,32.95,32.95,32.95
7,1,1,1,0,0,0,0,22.5,22.5,22.5
8,1,1,1,0,0,0,0,21.41,21.41,21.41
9,1,1,1,0,0,0,0,32.84,32.84,32.84
10,1,1,1,0,0,0,0,32.37,32.37,32.37
11,1,1,1,0,0,0,0,26.43,26.43,26.43
12,1,1,1,0,0,0,0,24.41,24.41,24.41
13,1,1,1,0,0,0,0,32.42,32.42,32.42
14,1,1,1,0,0,0,0,31.87,31.87,31.87
15,1,1,1,0,0,0,0,25.59,25.59,25.59
16,1,1,1,0,0,0,0,24.68,24.68,24.68
17,1,1,1,0,0,0,0,31.15,31.15,31.15
18,1,1,1,0,0,0,0,31.38,31.38,31.38
19,1,1,1,0,0,0,0,27.59,27.59,27.59
20,1,1,1,0,0,0,0,25.19,25.19,25.19
21,1,1,1,0,0,0,0,34.06,34.06,34.06
22,1,1,1,0,0,0,0,30.95,30.95,30.95
23,1,1,1,0,0,0,0,26.36,26.36,26.36
24,1,1,1,0,0,0,0,24.5,24.5,24.5
25,2,2,2,0,0,0,0,30.51,32.44,32.44
26,1,1,1,0,0,0,0,28.97,28.97,28.97
27,1,1,1,0,0,0,0,23.72,23.72,23.72
28,1,1,1,0,0,0,0,31.2,31.2,31.2
29,1,1,1,0,0,0,0,30.33,30.33,30.33
30,1,1,1,0,0,0,0,24.74,24.74,24.74
31,1,1,1,0,0,0,0,70.45,70.45,70.45
32,1,1,1,0,0,0,0,31.14,31.14,31.14
33,1,1,1,0,0,0,0,46.56,46.56,46.56
34,1,1,1,0,0,0,0,28.23,28.23,28.23
35,1,1,1,0,0,0,0,26.73,26.73,26.73
36,1,1,1,0,0,0,0,33.31,33.31,33.31
37,1,1,1,0,0,0,0,32.37,32.37,32.37
38,1,1,1,0,0,0,0,24.16,24.16,24.16
39,1,1,1,0,0,0,0,22.61,22.61,22.61
