t_rel_s,peticiones,tps,ok,err_408_presupuesto,err_429_cuota,err_5xx,err_conexion,p50_ms,p95_ms,p99_ms
0,1,1,1,0,0,0,0,70.01,70.01,70.01
1,1,1,1,0,0,0,0,22.74,22.74,22.74
2,1,1,1,0,0,0,0,22.07,22.07,22.07
3,1,1,1,0,0,0,0,28.66,28.66,28.66
4,1,1,1,0,0,0,0,28.26,28.26,28.26
5,1,1,1,0,0,0,0,20.17,20.17,20.17
6,1,1,1,0,0,0,0,22.21,22.21,22.21
7,1,1,1,0,0,0,0,31.09,31.09,31.09
8,1,1,1,0,0,0,0,30.26,30.26,30.26
9,1,1,1,0,0,0,0,20.37,20.37,20.37
10,1,1,1,0,0,0,0,21.9,21.9,21.9
11,1,1,1,0,0,0,0,31.68,31.68,31.68
12,1,1,1,0,0,0,0,27.75,27.75,27.75
13,1,1,1,0,0,0,0,18.93,18.93,18.93
14,1,1,1,0,0,0,0,22.61,22.61,22.61
15,1,1,1,0,0,0,0,32.25,32.25,32.25
16,1,1,1,0,0,0,0,40.95,40.95,40.95
17,1,1,1,0,0,0,0,35.79,35.79,35.79
18,1,1,1,0,0,0,0,31.54,31.54,31.54
19,1,1,1,0,0,0,0,43.27,43.27,43.27
20,1,1,1,0,0,0,0,30.16,30.16,30.16
21,1,1,1,0,0,0,0,21.67,21.67,21.67
22,1,1,1,0,0,0,0,20.75,20.75,20.75
23,1,1,1,0,0,0,0,29.5,29.5,29.5
24,1,1,1,0,0,0,0,30.18,30.18,30.18
25,2,2,2,0,0,0,0,23.21,23.47,23.47
26,1,1,1,0,0,0,0,31.41,31.41,31.41
27,1,1,1,0,0,0,0,31.67,31.67,31.67
28,1,1,1,0,0,0,0,17.36,17.36,17.36
29,1,1,1,0,0,0,0,21.53,21.53,21.53
30,1,1,1,0,0,0,0,33.32,33.32,33.32
31,1,1,1,0,0,0,0,30.85,30.85,30.85
32,1,1,1,0,0,0,0,24.69,24.69,24.69
33,1,1,1,0,0,0,0,40.66,40.66,40.66
34,1,1,1,0,0,0,0,30.77,30.77,30.77
35,1,1,1,0,0,0,0,32.1,32.1,32.1
36,1,1,1,0,0,0,0,24.94,24.94,24.94
37,1,1,1,0,0,0,0,25.88,25.88,25.88
38,1,1,1,0,0,0,0,31.4,31.4,31.4
39,1,1,1,0,0,0,0,30.75,30.75,30.75
40,1,1,1,0,0,0,0,22.87,22.87,22.87
41,1,1,1,0,0,0,0,24.79,24.79,24.79
42,1,1,1,0,0,0,0,33.26,33.26,33.26
43,1,1,1,0,0,0,0,30.91,30.91,30.91
44,1,1,1,0,0,0,0,22.97,22.97,22.97
45,1,1,1,0,0,0,0,23.43,23.43,23.43
46,1,1,1,0,0,0,0,34.87,34.87,34.87
47,1,1,1,0,0,0,0,32.0,32.0,32.0
48,1,1,1,0,0,0,0,22.89,22.89,22.89
49,1,1,1,0,0,0,0,24.5,24.5,24.5
50,2,2,2,0,0,0,0,30.91,32.53,32.53
51,1,1,1,0,0,0,0,23.84,23.84,23.84
52,1,1,1,0,0,0,0,26.56,26.56,26.56
53,1,1,1,0,0,0,0,30.2,30.2,30.2
54,1,1,1,0,0,0,0,31.9,31.9,31.9
55,1,1,1,0,0,0,0,22.24,22.24,22.24
56,1,1,1,0,0,0,0,23.4,23.4,23.4
57,1,1,1,0,0,0,0,32.45,32.45,32.45
58,1,1,1,0,0,0,0,30.78,30.78,30.78
59,1,1,1,0,0,0,0,21.42,21.42,21.42
60,1,1,1,0,0,0,0,22.87,22.87,22.87
