t_rel_s,peticiones,tps,ok,err_408_presupuesto,err_429_cuota,err_5xx,err_conexion,p50_ms,p95_ms,p99_ms
0,4,4,4,0,0,0,0,29.0,74.16,74.16
1,15,15,15,0,0,0,0,27.65,36.75,44.11
2,25,25,25,0,0,0,0,23.47,30.51,31.77
3,35,35,35,0,0,0,0,29.16,31.87,34.41
4,45,45,45,0,0,0,0,29.26,35.36,80.48
5,55,55,55,0,0,0,0,28.97,35.85,39.08
6,65,65,65,0,0,0,0,31.04,38.47,39.63
7,75,75,74,1,0,0,0,98.34,526.9,892.07
8,85,85,17,68,0,0,0,621.27,883.79,1015.62
9,95,95,0,95,0,0,0,691.79,1030.58,1290.61
10,100,100,0,100,0,0,0,808.41,1212.04,1549.1
11,100,100,0,100,0,0,0,918.55,1384.74,1489.77
12,100,100,0,100,0,0,0,1049.58,1420.23,1702.42
13,100,100,0,100,0,0,0,1239.17,1737.05,2012.39
14,100,100,0,100,0,0,0,1393.62,1790.75,2118.72
15,100,100,0,100,0,0,0,1453.38,1858.49,2276.44
16,100,100,0,100,0,0,0,1681.2,2096.13,2222.22
17,100,100,0,100,0,0,0,1848.29,2255.6,2422.01
18,100,100,0,100,0,0,0,2010.52,2641.12,2788.2
19,100,100,0,100,0,0,0,2078.17,2531.2,2595.96
20,100,100,0,100,0,0,0,2365.8,2753.13,2949.59
21,100,100,0,100,0,0,0,2489.59,2829.13,2930.07
22,100,100,0,100,0,0,0,2632.25,2989.24,3142.42
23,100,100,0,100,0,0,0,2665.18,3124.34,3533.96
24,90,90,0,90,0,0,0,2767.66,3352.07,3592.9
25,94,94,0,94,0,0,0,3031.4,3539.13,3828.87
26,80,80,0,80,0,0,0,2916.07,3468.05,3620.2
27,83,83,0,83,0,0,0,3014.03,3593.13,3671.05
28,87,87,0,87,0,0,0,3381.57,3713.37,4066.02
29,82,82,0,82,0,0,0,3450.46,3719.12,3838.22
30,74,74,0,74,0,0,0,3127.64,3765.45,3976.08
31,81,81,0,81,0,0,0,2821.02,3866.76,4231.09
32,80,80,0,80,0,0,0,3651.98,3821.72,3907.88
33,81,81,0,81,0,0,0,3138.1,3927.73,4206.26
34,77,77,0,77,0,0,0,3226.59,4180.26,4298.07
35,62,62,0,62,0,0,0,3200.45,4675.56,5068.08
36,91,91,0,91,0,0,0,3750.6,5807.61,6061.36
37,68,68,0,68,0,0,0,5718.56,7324.2,7778.4
38,58,58,0,58,0,0,0,6666.6,14433.89,14864.73
39,47,47,0,47,0,0,0,12739.74,14453.38,14701.44
40,50,50,0,50,0,0,0,12048.47,13364.69,13803.43
41,37,37,0,37,0,0,0,11051.66,12393.02,12734.96
42,32,32,0,32,0,0,0,10306.7,11359.97,11851.86
43,23,23,0,23,0,0,0,9012.37,10790.4,10839.41
44,24,24,0,24,0,0,0,7771.4,9355.74,9690.35
45,36,36,0,36,0,0,0,7028.82,8312.02,8694.73
46,2,2,0,2,0,0,0,2117.38,6746.06,6746.06
47,5,5,0,5,0,0,0,1831.89,5711.76,5711.76
48,12,12,0,12,0,0,0,2532.24,3311.84,3367.1
