t_rel_s,peticiones,tps,ok,err_408_presupuesto,err_429_cuota,err_5xx,err_conexion,p50_ms,p95_ms,p99_ms
0,1,1,1,0,0,0,0,83.11,83.11,83.11
1,1,1,1,0,0,0,0,20.36,20.36,20.36
2,1,1,1,0,0,0,0,22.41,22.41,22.41
3,1,1,1,0,0,0,0,30.57,30.57,30.57
4,1,1,1,0,0,0,0,32.65,32.65,32.65
5,1,1,1,0,0,0,0,21.02,21.02,21.02
6,1,1,1,0,0,0,0,21.91,21.91,21.91
7,1,1,1,0,0,0,0,21.46,21.46,21.46
8,1,1,1,0,0,0,0,32.77,32.77,32.77
9,1,1,1,0,0,0,0,20.7,20.7,20.7
10,1,1,1,0,0,0,0,22.18,22.18,22.18
11,1,1,1,0,0,0,0,29.41,29.41,29.41
12,1,1,1,0,0,0,0,31.42,31.42,31.42
13,1,1,1,0,0,0,0,20.9,20.9,20.9
14,1,1,1,0,0,0,0,20.93,20.93,20.93
15,1,1,1,0,0,0,0,28.02,28.02,28.02
16,1,1,1,0,0,0,0,29.71,29.71,29.71
17,1,1,1,0,0,0,0,30.93,30.93,30.93
18,1,1,1,0,0,0,0,21.25,21.25,21.25
19,1,1,1,0,0,0,0,31.14,31.14,31.14
20,1,1,1,0,0,0,0,29.47,29.47,29.47
21,1,1,1,0,0,0,0,29.67,29.67,29.67
22,1,1,1,0,0,0,0,24.28,24.28,24.28
23,1,1,1,0,0,0,0,31.99,31.99,31.99
24,1,1,1,0,0,0,0,32.45,32.45,32.45
25,2,2,2,0,0,0,0,18.4,18.77,18.77
26,1,1,1,0,0,0,0,19.15,19.15,19.15
27,1,1,1,0,0,0,0,30.65,30.65,30.65
28,1,1,1,0,0,0,0,21.23,21.23,21.23
29,1,1,1,0,0,0,0,22.61,22.61,22.61
30,1,1,1,0,0,0,0,21.54,21.54,21.54
31,1,1,1,0,0,0,0,29.74,29.74,29.74
32,1,1,1,0,0,0,0,34.32,34.32,34.32
33,1,1,1,0,0,0,0,29.02,29.02,29.02
34,1,1,1,0,0,0,0,28.89,28.89,28.89
35,1,1,1,0,0,0,0,31.04,31.04,31.04
36,1,1,1,0,0,0,0,23.13,23.13,23.13
37,1,1,1,0,0,0,0,24.62,24.62,24.62
38,1,1,1,0,0,0,0,31.59,31.59,31.59
39,1,1,1,0,0,0,0,33.67,33.67,33.67
40,1,1,1,0,0,0,0,33.05,33.05,33.05
41,1,1,1,0,0,0,0,39.0,39.0,39.0
42,1,1,1,0,0,0,0,41.45,41.45,41.45
43,1,1,1,0,0,0,0,46.01,46.01,46.01
44,1,1,1,0,0,0,0,32.16,32.16,32.16
45,1,1,1,0,0,0,0,26.11,26.11,26.11
46,1,1,1,0,0,0,0,30.55,30.55,30.55
47,1,1,1,0,0,0,0,34.77,34.77,34.77
48,1,1,1,0,0,0,0,33.59,33.59,33.59
49,1,1,1,0,0,0,0,28.46,28.46,28.46
50,2,2,2,0,0,0,0,33.28,33.94,33.94
51,1,1,1,0,0,0,0,30.66,30.66,30.66
52,1,1,1,0,0,0,0,22.86,22.86,22.86
53,1,1,1,0,0,0,0,32.67,32.67,32.67
54,1,1,1,0,0,0,0,33.77,33.77,33.77
55,1,1,1,0,0,0,0,23.78,23.78,23.78
56,1,1,1,0,0,0,0,22.44,22.44,22.44
57,1,1,1,0,0,0,0,31.55,31.55,31.55
58,1,1,1,0,0,0,0,30.26,30.26,30.26
59,1,1,1,0,0,0,0,32.39,32.39,32.39
60,1,1,1,0,0,0,0,23.3,23.3,23.3
61,1,1,1,0,0,0,0,30.82,30.82,30.82
62,1,1,1,0,0,0,0,34.81,34.81,34.81
63,1,1,1,0,0,0,0,22.85,22.85,22.85
