t_rel_s,peticiones,tps,ok,err_408_presupuesto,err_429_cuota,err_5xx,err_conexion,p50_ms,p95_ms,p99_ms
0,4,4,4,0,0,0,0,29.31,145.03,145.03
1,15,15,15,0,0,0,0,30.19,37.04,52.5
2,25,25,25,0,0,0,0,27.69,34.89,35.84
3,35,35,35,0,0,0,0,34.46,62.88,80.38
4,45,45,45,0,0,0,0,32.3,46.08,64.42
5,55,55,55,0,0,0,0,31.55,40.59,48.58
6,65,65,60,5,0,0,0,246.07,694.8,723.17
7,75,75,53,22,0,0,0,494.21,1030.04,1191.36
8,85,85,3,82,0,0,0,652.39,958.2,1284.55
9,95,95,0,95,0,0,0,777.23,1063.08,1154.06
10,100,100,0,100,0,0,0,871.12,1358.1,1512.6
11,100,100,0,100,0,0,0,1036.74,1402.83,1895.19
12,100,100,0,100,0,0,0,1163.18,1538.91,1724.31
13,100,100,0,100,0,0,0,1345.84,1657.4,1771.51
14,100,100,0,100,0,0,0,1567.05,1955.0,2173.45
15,100,100,0,100,0,0,0,1750.28,2112.49,2389.08
16,100,100,0,100,0,0,0,1834.67,2113.47,2413.93
17,100,100,0,100,0,0,0,1979.52,2370.49,2466.96
18,100,100,0,100,0,0,0,2147.72,2529.83,2902.88
19,100,100,0,100,0,0,0,2383.75,2743.23,3090.49
20,100,100,0,100,0,0,0,2529.74,2951.59,3054.95
21,100,100,0,100,0,0,0,2765.21,3147.17,3292.16
22,100,100,0,100,0,0,0,2700.18,3241.26,3414.03
23,96,96,0,96,0,0,0,2714.65,3327.39,3497.02
24,87,87,0,87,0,0,0,3018.35,3627.98,4018.55
25,93,93,0,93,0,0,0,3011.38,3767.96,3904.97
26,87,87,0,87,0,0,0,3157.4,3763.17,3886.26
27,73,73,0,73,0,0,0,3055.98,3716.69,3790.73
28,87,87,0,87,0,0,0,3154.9,3813.49,4005.92
29,80,80,0,80,0,0,0,3431.97,3821.23,4008.44
30,81,81,0,81,0,0,0,3348.17,3843.1,4026.0
31,71,71,0,71,0,0,0,3415.69,3975.16,4139.53
32,76,76,0,76,0,0,0,3179.24,3792.36,3941.1
33,85,85,0,85,0,0,0,3201.85,3923.07,4256.5
34,69,69,0,69,0,0,0,3289.77,4011.56,4071.29
35,88,88,0,88,0,0,0,3407.13,4019.74,4136.03
36,71,71,0,71,0,0,0,3690.31,3972.5,4111.93
37,71,71,0,71,0,0,0,3782.33,4033.57,4357.44
38,71,71,0,71,0,0,0,3761.0,3975.59,4123.66
39,74,74,0,74,0,0,0,3684.64,4063.82,4286.26
40,70,70,0,70,0,0,0,3591.21,4030.46,4101.39
41,70,70,0,70,0,0,0,3482.33,3998.85,4325.95
42,72,72,0,72,0,0,0,3733.68,4032.4,4310.01
43,73,73,0,73,0,0,0,3652.62,4198.3,4482.8
44,71,71,0,71,0,0,0,3723.37,4238.99,4348.17
45,67,67,0,67,0,0,0,3858.7,4247.67,4260.7
46,72,72,0,72,0,0,0,3418.73,4155.81,4440.78
47,71,71,0,71,0,0,0,3538.88,4172.97,4304.05
48,67,67,0,67,0,0,0,3885.3,4550.41,4633.66
49,76,76,0,76,0,0,0,3640.13,4217.57,4459.36
50,71,71,0,71,0,0,0,4018.31,4246.54,4285.47
51,60,60,0,60,0,0,0,3964.62,4313.63,4482.24
52,73,73,0,73,0,0,0,3147.66,4391.38,4616.56
53,73,73,0,73,0,0,0,3147.64,4300.51,4458.16
54,71,71,0,71,0,0,0,4112.38,4363.19,4522.64
55,70,70,0,70,0,0,0,3345.49,4202.52,4514.91
56,78,78,0,78,0,0,0,3944.0,4301.52,4453.33
57,60,60,0,60,0,0,0,3859.63,4374.53,4536.99
58,72,72,0,72,0,0,0,3507.76,4269.73,4329.5
59,68,68,0,68,0,0,0,3307.84,4404.21,4597.45
60,75,75,0,75,0,0,0,4095.65,4437.02,4671.28
61,71,71,0,71,0,0,0,3699.93,4530.35,4711.37
62,72,72,0,72,0,0,0,4154.86,4667.87,4880.52
63,58,58,0,58,0,0,0,3778.85,4621.1,4666.58
64,74,74,0,74,0,0,0,4025.04,4592.64,4675.01
65,69,69,0,69,0,0,0,3597.2,4380.47,4391.57
66,61,61,0,61,0,0,0,3543.48,4059.2,4102.22
67,77,77,0,77,0,0,0,2751.5,3701.06,3762.68
68,92,92,0,92,0,0,0,2502.45,3340.39,3421.13
69,79,79,0,79,0,0,0,3049.67,3139.3,3156.62
70,107,107,0,107,0,0,0,2226.37,3027.57,3074.42
71,105,105,0,105,0,0,0,2767.52,2982.18,3012.62
72,117,117,9,108,0,0,0,2505.78,2788.5,2807.49
73,132,132,23,109,0,0,0,1790.78,2671.3,2973.42
74,141,141,33,108,0,0,0,1744.52,2553.24,2653.74
75,155,155,34,121,0,0,0,2222.89,2502.32,2668.38
76,120,120,0,120,0,0,0,2099.69,3006.05,3117.46
77,146,146,0,146,0,0,0,2811.81,3702.77,3823.42
78,93,93,0,93,0,0,0,2588.74,3713.75,4044.38
79,91,91,0,91,0,0,0,3007.86,4065.91,4163.41
