t_rel_s,peticiones,tps,ok,err_408_presupuesto,err_429_cuota,err_5xx,err_conexion,p50_ms,p95_ms,p99_ms
0,3,3,3,0,0,0,0,31.76,79.8,79.8
1,11,11,11,0,0,0,0,28.82,30.01,32.04
2,19,19,19,0,0,0,0,24.37,30.47,30.66
3,26,26,26,0,0,0,0,24.37,30.79,31.27
4,34,34,34,0,0,0,0,29.54,34.4,40.75
5,41,41,41,0,0,0,0,29.01,32.98,33.83
6,49,49,49,0,0,0,0,29.21,34.66,36.76
7,56,56,56,0,0,0,0,31.71,69.81,110.2
8,64,64,64,0,0,0,0,32.04,35.16,36.16
9,71,71,71,0,0,0,0,32.3,36.87,37.72
10,75,75,75,0,0,0,0,33.76,41.34,42.61
11,75,75,75,0,0,0,0,32.58,40.65,41.94
12,75,75,75,0,0,0,0,216.92,425.77,568.11
13,69,69,69,0,0,0,0,379.81,3182.47,4042.63
14,74,74,74,0,0,0,0,1984.39,4111.0,4362.02
15,79,79,77,2,0,0,0,1139.56,3244.16,4467.79
16,76,76,74,2,0,0,0,968.71,2908.86,3460.22
17,76,76,74,2,0,0,0,813.02,1913.79,2261.37
18,75,75,69,6,0,0,0,591.38,1290.58,1588.85
19,76,76,23,53,0,0,0,603.63,749.51,797.47
20,75,75,69,6,0,0,0,391.17,599.93,621.16
21,75,75,75,0,0,0,0,79.79,285.87,306.81
22,75,75,75,0,0,0,0,42.62,50.72,52.72
23,75,75,75,0,0,0,0,49.19,80.49,100.66
24,75,75,75,0,0,0,0,38.22,46.26,47.24
25,75,75,75,0,0,0,0,40.53,54.63,60.03
26,75,75,75,0,0,0,0,49.78,66.85,75.84
27,75,75,75,0,0,0,0,55.02,76.05,79.41
28,75,75,75,0,0,0,0,56.42,140.54,174.28
29,75,75,75,0,0,0,0,32.07,39.38,41.15
30,75,75,75,0,0,0,0,33.6,38.3,41.53
31,75,75,75,0,0,0,0,34.52,40.48,45.98
32,75,75,75,0,0,0,0,34.2,42.99,46.22
33,75,75,75,0,0,0,0,32.41,38.41,40.32
34,75,75,75,0,0,0,0,32.08,38.46,39.67
35,75,75,75,0,0,0,0,32.95,38.19,40.04
36,75,75,75,0,0,0,0,31.6,38.61,39.17
37,75,75,75,0,0,0,0,31.74,37.85,39.85
38,75,75,75,0,0,0,0,70.21,325.46,441.38
39,75,75,75,0,0,0,0,189.49,323.53,345.38
40,75,75,75,0,0,0,0,34.07,65.29,79.35
41,75,75,75,0,0,0,0,32.62,38.54,39.15
42,75,75,75,0,0,0,0,34.29,39.99,41.33
43,75,75,75,0,0,0,0,34.3,41.26,45.25
44,75,75,75,0,0,0,0,32.1,38.5,41.74
45,75,75,75,0,0,0,0,34.65,57.77,61.66
46,75,75,75,0,0,0,0,30.59,36.9,37.67
47,75,75,75,0,0,0,0,31.65,37.37,39.33
48,75,75,75,0,0,0,0,32.15,37.79,38.25
49,75,75,75,0,0,0,0,33.01,40.06,42.34
50,75,75,75,0,0,0,0,36.56,56.06,64.86
51,75,75,75,0,0,0,0,33.05,39.13,40.79
52,75,75,75,0,0,0,0,32.72,40.84,45.62
53,75,75,75,0,0,0,0,32.82,40.6,41.16
54,75,75,75,0,0,0,0,31.91,39.45,40.16
55,75,75,75,0,0,0,0,33.44,39.21,42.05
56,75,75,75,0,0,0,0,32.8,38.64,39.98
57,75,75,75,0,0,0,0,35.13,48.58,52.72
58,75,75,75,0,0,0,0,33.73,40.32,40.69
59,75,75,75,0,0,0,0,34.21,39.4,40.38
60,75,75,75,0,0,0,0,32.44,42.95,56.21
61,75,75,75,0,0,0,0,32.87,39.69,40.58
62,75,75,75,0,0,0,0,32.48,38.01,41.34
63,75,75,75,0,0,0,0,31.54,39.96,41.41
64,75,75,75,0,0,0,0,33.4,38.38,39.55
65,75,75,75,0,0,0,0,33.12,40.5,46.77
66,75,75,75,0,0,0,0,32.77,38.86,39.56
67,75,75,75,0,0,0,0,31.3,39.39,45.62
68,75,75,75,0,0,0,0,33.39,39.97,41.54
69,75,75,75,0,0,0,0,33.54,38.28,41.0
