t_rel_s,peticiones,tps,ok,err_408_presupuesto,err_429_cuota,err_5xx,err_conexion,p50_ms,p95_ms,p99_ms
0,3,3,3,0,0,0,0,38.01,124.04,124.04
1,11,11,11,0,0,0,0,27.53,36.26,38.92
2,19,19,19,0,0,0,0,31.77,36.93,59.08
3,26,26,26,0,0,0,0,34.79,60.78,71.54
4,34,34,34,0,0,0,0,35.28,49.82,64.72
5,41,41,41,0,0,0,0,32.63,42.84,47.11
6,49,49,49,0,0,0,0,31.33,40.17,41.58
7,56,56,56,0,0,0,0,37.44,86.69,118.43
8,64,64,39,25,0,0,0,463.29,1081.49,1196.26
9,71,71,7,64,0,0,0,771.77,1235.39,1430.01
10,75,75,0,75,0,0,0,1059.38,1372.96,1423.44
11,75,75,0,75,0,0,0,1325.99,1849.21,2010.11
12,75,75,0,75,0,0,0,1565.96,1914.86,2016.12
13,75,75,0,75,0,0,0,1875.01,2350.18,2494.08
14,75,75,0,75,0,0,0,2121.44,2499.82,2581.81
15,75,75,0,75,0,0,0,2304.48,2657.56,2738.85
16,75,75,0,75,0,0,0,2480.55,2826.59,2937.29
17,75,75,0,75,0,0,0,2794.27,3357.89,3437.88
18,75,75,0,75,0,0,0,3107.53,3572.72,3706.58
19,75,75,0,75,0,0,0,3216.65,3865.98,3936.22
20,75,75,0,75,0,0,0,3437.99,4096.37,4175.92
21,75,75,0,75,0,0,0,3837.92,4438.46,4674.74
22,75,75,0,75,0,0,0,4062.76,4687.75,4818.23
23,65,65,0,65,0,0,0,3898.85,4778.03,4906.41
24,60,60,0,60,0,0,0,4175.95,5102.28,5140.89
25,68,68,0,68,0,0,0,4668.01,5192.99,5454.17
26,61,61,0,61,0,0,0,4072.91,5171.09,5337.15
27,64,64,0,64,0,0,0,4729.7,5452.09,5477.15
28,51,51,0,51,0,0,0,4756.43,5354.49,5624.25
29,52,52,0,52,0,0,0,4919.56,5341.1,5505.6
30,67,67,0,67,0,0,0,4848.5,5479.7,5520.11
31,55,55,0,55,0,0,0,4056.95,5471.67,5878.67
32,61,61,0,61,0,0,0,4427.8,5781.01,5931.6
33,47,47,0,47,0,0,0,4401.14,5752.14,5870.63
34,55,55,0,55,0,0,0,5122.36,5900.59,5994.93
35,64,64,0,64,0,0,0,4225.94,5883.78,5968.38
36,51,51,0,51,0,0,0,5345.21,5807.13,5980.12
37,45,45,0,45,0,0,0,4235.86,5799.88,6042.25
38,53,53,0,53,0,0,0,5470.01,5911.89,5981.82
39,54,54,0,54,0,0,0,5404.95,5863.61,5920.2
40,55,55,0,55,0,0,0,4478.96,5922.89,5983.99
41,55,55,0,55,0,0,0,4247.13,5840.28,6049.8
42,44,44,0,44,0,0,0,5485.99,5925.28,5986.81
43,51,51,0,51,0,0,0,4173.45,5931.94,6005.47
44,57,57,0,57,0,0,0,5533.52,5908.46,6176.54
45,56,56,0,56,0,0,0,5485.03,5838.44,6057.5
46,36,36,0,36,0,0,0,4723.24,5703.43,5780.79
47,59,59,0,59,0,0,0,5356.73,5864.71,6042.55
48,49,49,0,49,0,0,0,5383.85,5924.46,6136.13
49,44,44,0,44,0,0,0,5473.97,6037.01,6353.3
50,56,56,0,56,0,0,0,5383.27,5997.82,6142.59
51,54,54,0,54,0,0,0,5419.54,5996.19,6102.4
52,46,46,0,46,0,0,0,5445.18,6249.88,6446.07
53,43,43,0,43,0,0,0,4520.57,5901.19,6340.41
54,53,53,0,53,0,0,0,4644.48,5988.2,6062.44
55,48,48,0,48,0,0,0,5459.4,5902.84,5982.85
56,56,56,0,56,0,0,0,4517.51,5870.93,6097.51
57,48,48,0,48,0,0,0,4511.34,6046.81,6632.38
58,51,51,0,51,0,0,0,4397.85,7036.19,7228.4
59,43,43,0,43,0,0,0,4688.38,7175.27,7179.26
60,55,55,0,55,0,0,0,5746.11,7343.11,7496.45
61,58,58,0,58,0,0,0,6677.43,8223.57,8383.41
62,47,47,0,47,0,0,0,6623.34,8638.34,8885.93
63,46,46,0,46,0,0,0,7620.99,15260.11,15828.25
64,15,15,0,15,0,0,0,13369.66,16083.13,16992.5
65,30,30,0,30,0,0,0,13874.41,15226.55,15815.38
66,45,45,0,45,0,0,0,13305.56,14665.72,15139.1
67,43,43,0,43,0,0,0,12102.67,13535.44,13761.15
68,31,31,0,31,0,0,0,11178.7,12871.52,13032.47
69,31,31,0,31,0,0,0,10403.07,11148.33,11881.34
70,22,22,0,22,0,0,0,9468.08,10790.79,10919.71
71,34,34,0,34,0,0,0,8409.86,9101.78,10526.43
72,5,5,0,5,0,0,0,7384.83,8779.6,8779.6
73,3,3,0,3,0,0,0,6480.68,6957.79,6957.79
74,3,3,0,3,0,0,0,5366.58,6255.39,6255.39
75,9,9,0,9,0,0,0,2201.09,4686.87,4686.87
76,10,10,0,10,0,0,0,3816.88,4865.93,4865.93
77,28,28,0,28,0,0,0,4509.53,4949.14,5211.99
78,16,16,0,16,0,0,0,3624.72,4697.95,5360.57
79,89,89,0,89,0,0,0,3706.31,4944.09,5031.01
80,92,92,0,92,0,0,0,3749.52,4979.89,5246.9
81,47,47,0,47,0,0,0,4061.14,5031.24,5059.67
82,31,31,0,31,0,0,0,3384.27,4967.35,5146.82
83,76,76,0,76,0,0,0,3627.8,4913.14,4975.64
84,84,84,0,84,0,0,0,3750.14,4855.83,5077.48
85,55,55,0,55,0,0,0,3346.39,4459.77,4566.54
86,51,51,0,51,0,0,0,4123.93,4565.22,4622.24
87,69,69,0,69,0,0,0,4108.53,4458.82,4514.3
88,80,80,0,80,0,0,0,3216.92,4619.14,4907.52
89,64,64,0,64,0,0,0,4013.71,4982.5,5029.41
90,58,58,0,58,0,0,0,3057.79,4752.92,4931.68
91,73,73,0,73,0,0,0,4166.4,4743.76,4793.01
