t_rel_s,peticiones,tps,ok,err_408_presupuesto,err_429_cuota,err_5xx,err_conexion,p50_ms,p95_ms,p99_ms
0,3,3,3,0,0,0,0,28.03,101.05,101.05
1,11,11,11,0,0,0,0,24.19,30.71,30.71
2,19,19,19,0,0,0,0,28.3,30.59,33.49
3,26,26,26,0,0,0,0,24.19,32.39,32.93
4,34,34,34,0,0,0,0,26.57,31.73,33.48
5,41,41,41,0,0,0,0,28.0,33.92,36.58
6,49,49,49,0,0,0,0,28.33,34.92,38.79
7,56,56,50,6,0,0,0,36.83,745.13,989.51
8,64,64,22,42,0,0,0,648.85,1130.97,1344.71
9,71,71,3,68,0,0,0,878.88,1238.47,1339.95
10,75,75,0,75,0,0,0,1148.53,1530.69,1775.56
11,75,75,0,75,0,0,0,1289.17,1816.11,1961.52
12,75,75,0,75,0,0,0,1563.31,2057.63,2182.14
13,75,75,0,75,0,0,0,1753.59,2273.14,2459.25
14,75,75,0,75,0,0,0,2000.06,2513.95,2585.66
15,75,75,0,75,0,0,0,2373.3,2929.99,3108.24
16,75,75,0,75,0,0,0,2565.22,3051.63,3085.36
17,75,75,0,75,0,0,0,2928.84,3226.64,3346.76
18,75,75,0,75,0,0,0,3233.37,3679.64,4000.49
19,75,75,0,75,0,0,0,3255.95,4074.52,4144.02
20,75,75,0,75,0,0,0,3756.39,4309.45,4391.1
21,75,75,0,75,0,0,0,3791.3,4573.73,4651.94
22,75,75,0,75,0,0,0,4070.23,4699.33,4817.12
23,52,52,0,52,0,0,0,3836.05,4773.79,4986.86
24,72,72,0,72,0,0,0,4027.07,4876.98,5286.51
25,54,54,0,54,0,0,0,4493.92,5311.09,5502.85
26,65,65,0,65,0,0,0,4364.85,5225.95,5303.52
27,58,58,0,58,0,0,0,4318.15,5381.12,5436.21
28,52,52,0,52,0,0,0,4769.38,5276.71,5328.45
29,53,53,0,53,0,0,0,4791.29,5213.51,5359.19
30,60,60,0,60,0,0,0,4552.66,5219.06,5569.48
31,62,62,0,62,0,0,0,4647.9,5267.36,5575.4
32,44,44,0,44,0,0,0,4777.95,5431.16,5592.8
33,50,50,0,50,0,0,0,4939.96,5514.91,5677.39
34,56,56,0,56,0,0,0,4519.35,5329.35,5666.8
35,64,64,0,64,0,0,0,4909.4,5458.16,5949.98
36,48,48,0,48,0,0,0,4541.14,5571.65,5641.32
37,45,45,0,45,0,0,0,4958.44,5498.84,6078.36
38,54,54,0,54,0,0,0,5034.22,5433.99,5542.76
39,52,52,0,52,0,0,0,4960.03,5241.02,5464.48
40,58,58,0,58,0,0,0,5000.85,5556.15,5742.23
41,45,45,0,45,0,0,0,5759.64,6808.04,6970.87
42,47,47,0,47,0,0,0,6238.13,6678.83,6926.34
43,54,54,0,54,0,0,0,6125.08,7152.55,7306.64
44,52,52,0,52,0,0,0,6677.71,7755.92,8429.07
45,51,51,0,51,0,0,0,7354.99,8368.97,8375.33
46,20,20,0,20,0,0,0,7801.34,15584.17,15661.4
47,22,22,0,22,0,0,0,13669.87,14409.69,14449.77
48,43,43,0,43,0,0,0,12687.45,13500.61,13649.64
49,52,52,0,52,0,0,0,11633.84,12413.33,12944.64
50,32,32,0,32,0,0,0,10710.28,11765.22,11904.77
51,31,31,0,31,0,0,0,9680.85,10724.37,11264.25
52,25,25,0,25,0,0,0,8177.93,9663.59,9999.35
53,29,29,0,29,0,0,0,7920.41,8646.69,8698.04
54,16,16,0,16,0,0,0,6916.24,7442.35,7665.83
55,1,1,0,1,0,0,0,3696.64,3696.64,3696.64
56,2,2,0,2,0,0,0,4582.63,5410.95,5410.95
57,12,12,0,12,0,0,0,2823.08,3669.87,3792.3
58,7,7,0,7,0,0,0,2806.01,3181.67,3181.67
59,17,17,0,17,0,0,0,3610.21,4348.29,4766.63
60,59,59,0,59,0,0,0,4099.88,4860.46,5040.19
61,154,154,0,154,0,0,0,4060.74,4879.54,5088.13
62,28,28,0,28,0,0,0,4201.76,4920.24,4969.11
63,7,7,0,7,0,0,0,4223.63,4967.67,4967.67
64,59,59,0,59,0,0,0,4286.31,4712.24,4976.77
65,131,131,0,131,0,0,0,4303.88,4794.19,5132.1
66,49,49,0,49,0,0,0,4495.87,4996.7,5038.86
67,20,20,0,20,0,0,0,4455.18,4820.71,5039.09
68,71,71,0,71,0,0,0,3826.16,4736.57,4781.89
69,82,82,0,82,0,0,0,4381.87,4988.05,5164.53
70,65,65,0,65,0,0,0,3685.47,4940.96,5315.77
71,49,49,0,49,0,0,0,3651.63,5183.16,5411.5
72,67,67,0,67,0,0,0,4605.32,5305.68,5438.98
73,66,66,0,66,0,0,0,4667.8,5284.4,5366.5
74,70,70,0,70,0,0,0,4148.68,5552.69,5816.4
75,52,52,0,52,0,0,0,4103.83,5545.88,5651.13
76,43,43,0,43,0,0,0,4020.63,5606.5,5820.06
77,61,61,0,61,0,0,0,5283.83,5591.56,5710.83
78,60,60,0,60,0,0,0,4410.73,5685.43,5815.71
79,56,56,0,56,0,0,0,5350.14,5656.18,5769.79
80,47,47,0,47,0,0,0,4307.7,5755.3,6182.97
81,46,46,0,46,0,0,0,5235.12,5666.62,5749.59
82,55,55,0,55,0,0,0,4948.29,5437.16,5528.47
83,59,59,0,59,0,0,0,4426.78,5197.65,5398.48
84,55,55,0,55,0,0,0,4631.84,5029.17,5159.31
85,52,52,0,52,0,0,0,4646.92,4948.19,5200.37
86,56,56,0,56,0,0,0,4459.13,4820.89,4935.26
87,71,71,0,71,0,0,0,4258.89,5089.28,5241.01
88,53,53,0,53,0,0,0,4225.8,4702.39,4872.18
89,55,55,0,55,0,0,0,4412.11,4856.96,4908.26
90,68,68,0,68,0,0,0,4231.5,4917.85,4928.45
91,60,60,0,60,0,0,0,4482.48,4865.48,4885.63
92,42,42,0,42,0,0,0,3981.28,4958.88,5216.54
