t_rel_s,peticiones,tps,ok,err_408_presupuesto,err_429_cuota,err_5xx,err_conexion,p50_ms,p95_ms,p99_ms
0,3,3,3,0,0,0,0,42.48,110.13,110.13
1,11,11,11,0,0,0,0,33.21,39.47,52.47
2,19,19,19,0,0,0,0,31.62,39.86,44.52
3,26,26,26,0,0,0,0,35.59,67.42,120.25
4,34,34,34,0,0,0,0,40.89,75.68,125.01
5,41,41,41,0,0,0,0,38.91,52.39,63.55
6,49,49,49,0,0,0,0,35.24,52.23,60.82
7,56,56,56,0,0,0,0,35.79,55.51,65.31
8,64,64,35,29,0,0,0,583.07,1002.39,1043.19
9,71,71,7,64,0,0,0,846.12,1188.1,1416.08
10,75,75,0,75,0,0,0,1039.43,1380.92,1848.38
11,75,75,0,75,0,0,0,1303.34,1621.4,1706.41
12,75,75,0,75,0,0,0,1636.17,2094.85,2192.55
13,75,75,0,75,0,0,0,1787.92,2293.64,2379.66
14,75,75,0,75,0,0,0,2015.39,2488.06,2655.67
15,75,75,0,75,0,0,0,2251.49,2691.43,2833.31
16,75,75,0,75,0,0,0,2521.63,2756.62,2941.89
17,75,75,0,75,0,0,0,2762.69,3185.08,3315.89
18,75,75,0,75,0,0,0,2939.99,3578.83,3652.5
19,75,75,0,75,0,0,0,3287.9,3878.81,4083.98
20,75,75,0,75,0,0,0,3448.7,4217.92,4423.46
21,75,75,0,75,0,0,0,3714.94,4426.05,4583.44
22,75,75,0,75,0,0,0,3808.42,4630.45,4820.06
23,66,66,0,66,0,0,0,4313.99,4721.22,4748.9
24,68,68,0,68,0,0,0,3982.34,4945.37,5076.87
25,64,64,0,64,0,0,0,4693.44,5248.4,5292.77
26,58,58,0,58,0,0,0,4732.71,5110.34,5187.18
27,64,64,0,64,0,0,0,4742.11,5296.09,5462.25
28,56,56,0,56,0,0,0,4215.95,5443.59,5560.36
29,55,55,0,55,0,0,0,3864.75,5435.9,5570.43
30,54,54,0,54,0,0,0,5083.64,5412.33,5470.19
31,63,63,0,63,0,0,0,5065.77,5501.07,5668.32
32,56,56,0,56,0,0,0,5096.93,5680.7,5784.63
33,60,60,0,60,0,0,0,5024.55,5899.91,6234.55
34,44,44,0,44,0,0,0,4238.37,5812.59,6091.42
35,48,48,0,48,0,0,0,5284.57,5759.32,5887.48
36,62,62,0,62,0,0,0,5268.17,5951.76,6098.85
37,55,55,0,55,0,0,0,5224.73,5773.33,5805.91
38,48,48,0,48,0,0,0,5454.12,5741.75,5840.69
39,48,48,0,48,0,0,0,5359.67,5852.98,6540.13
40,53,53,0,53,0,0,0,5391.95,5725.55,5802.01
41,54,54,0,54,0,0,0,5538.7,6209.16,6364.49
