t_rel_s,peticiones,tps,ok,err_408_presupuesto,err_429_cuota,err_5xx,err_conexion,p50_ms,p95_ms,p99_ms
0,6,6,6,0,0,0,0,22.37,73.19,73.19
1,18,18,18,0,0,0,0,24.62,32.37,32.81
2,32,32,32,0,0,0,0,29.08,35.02,40.26
3,43,43,43,0,0,0,0,29.7,40.0,52.21
4,57,57,57,0,0,0,0,30.2,37.26,41.49
5,68,68,68,0,0,0,0,31.09,44.44,46.23
6,82,82,78,4,0,0,0,195.25,684.32,737.0
7,93,93,8,85,0,0,0,653.56,887.98,943.22
8,106,106,0,106,0,0,0,724.77,985.24,1066.68
9,119,119,0,119,0,0,0,953.63,1309.24,1679.34
10,125,125,0,125,0,0,0,1197.83,1588.57,1798.82
11,125,125,0,125,0,0,0,1495.81,1984.62,2171.81
12,125,125,0,125,0,0,0,1897.88,2343.47,2593.45
13,125,125,0,125,0,0,0,2087.73,2773.71,2860.32
14,125,125,0,125,0,0,0,2386.19,3233.18,3370.9
15,107,107,0,107,0,0,0,2543.74,3872.27,3971.93
16,93,93,0,93,0,0,0,3553.76,5027.86,5371.4
17,100,100,0,100,0,0,0,4454.75,7018.4,7689.12
18,65,65,0,65,0,0,0,5940.49,7611.4,12417.57
19,32,32,0,32,0,0,0,13037.83,14030.13,14545.28
20,55,55,0,55,0,0,0,11725.86,13110.86,13408.96
21,44,44,0,44,0,0,0,11040.54,12611.13,12659.45
22,33,33,0,33,0,0,0,9803.29,11448.48,11668.67
23,31,31,0,31,0,0,0,9210.49,10131.37,10222.63
24,25,25,0,25,0,0,0,8207.92,9777.09,9818.87
25,33,33,0,33,0,0,0,6712.74,8007.62,8795.06
26,1,1,0,1,0,0,0,6694.98,6694.98,6694.98
27,5,5,0,5,0,0,0,3071.36,4767.56,4767.56
28,9,9,0,9,0,0,0,2231.78,4805.21,4805.21
29,9,9,0,9,0,0,0,2116.78,3451.32,3451.32
30,25,25,0,25,0,0,0,2823.75,3162.71,3283.4
31,47,47,0,47,0,0,0,2775.84,3216.19,3789.95
32,107,107,0,107,0,0,0,2362.55,3303.55,3443.42
33,127,127,0,127,0,0,0,2768.99,3312.36,3534.75
34,70,70,0,70,0,0,0,2674.96,3201.46,3332.32
35,106,106,0,106,0,0,0,2868.39,3307.28,3544.3
36,85,85,0,85,0,0,0,3099.89,3494.02,3706.38
37,93,93,0,93,0,0,0,3042.34,3580.05,3878.52
38,78,78,0,78,0,0,0,3239.68,3706.08,3949.99
39,85,85,0,85,0,0,0,3299.12,3691.52,3900.08
40,81,81,0,81,0,0,0,2946.57,3778.19,3839.98
41,77,77,0,77,0,0,0,2755.55,3597.12,3752.65
42,86,86,0,86,0,0,0,2934.97,3965.84,4301.73
43,84,84,0,84,0,0,0,2866.35,3890.59,4079.25
44,82,82,0,82,0,0,0,3584.9,4033.15,4364.62
45,69,69,0,69,0,0,0,3008.12,4121.75,4360.02
46,88,88,0,88,0,0,0,2836.68,4374.87,4528.0
47,65,65,0,65,0,0,0,3908.05,4358.08,4775.28
48,83,83,0,83,0,0,0,2969.79,4367.81,4659.33
49,71,71,0,71,0,0,0,4038.6,4454.63,4596.26
50,63,63,0,63,0,0,0,3987.41,4350.1,4542.79
51,85,85,0,85,0,0,0,2971.72,4344.45,4631.02
52,58,58,0,58,0,0,0,2935.77,4425.44,4575.89
53,73,73,0,73,0,0,0,3072.06,4300.01,4531.55
54,84,84,0,84,0,0,0,2932.84,4461.31,4537.57
55,62,62,0,62,0,0,0,4171.84,4530.0,4718.36
56,78,78,0,78,0,0,0,2904.08,4504.5,4555.35
57,70,70,0,70,0,0,0,3020.42,4339.09,4389.57
58,69,69,0,69,0,0,0,2980.48,4335.93,4384.12
59,75,75,0,75,0,0,0,3988.06,4394.18,4782.02
60,71,71,0,71,0,0,0,3925.14,4531.46,4852.44
61,78,78,0,78,0,0,0,3936.32,4796.88,5140.41
62,68,68,0,68,0,0,0,3901.18,4979.77,5028.89
63,64,64,0,64,0,0,0,3960.01,4992.21,5142.47
64,64,64,0,64,0,0,0,3963.73,5026.42,5242.74
65,80,80,0,80,0,0,0,3921.24,4811.63,4928.41
66,71,71,0,71,0,0,0,2844.58,4702.22,5012.64
67,66,66,0,66,0,0,0,3081.55,4826.35,4884.09
68,69,69,0,69,0,0,0,3228.37,4635.43,4673.92
69,82,82,0,82,0,0,0,3023.84,4575.32,4843.58
70,62,62,0,62,0,0,0,2977.72,4678.81,4830.72
71,81,81,0,81,0,0,0,2997.15,4696.36,4856.79
72,79,79,0,79,0,0,0,4162.79,4559.12,4931.63
73,72,72,0,72,0,0,0,4139.11,4608.9,4817.44
74,73,73,0,73,0,0,0,2828.08,5633.36,6200.31
75,62,62,0,62,0,0,0,5735.6,7027.29,7131.1
76,89,89,0,89,0,0,0,4585.25,8176.32,8584.67
77,64,64,0,64,0,0,0,5304.01,8387.96,8863.72
78,60,60,0,60,0,0,0,7292.96,10930.49,13606.87
79,23,23,5,18,0,0,0,12614.26,14961.57,15578.16
80,23,23,3,20,0,0,0,11747.51,14088.15,14335.29
81,43,43,6,37,0,0,0,10868.9,13115.16,13406.05
82,41,41,3,38,0,0,0,9906.67,11628.01,12063.74
83,32,32,1,31,0,0,0,9233.72,12323.45,13396.4
84,27,27,3,24,0,0,0,8269.65,10721.88,11820.62
85,33,33,4,29,0,0,0,6913.57,9732.61,10346.32
86,26,26,2,24,0,0,0,5948.64,8021.55,9846.48
87,3,3,1,2,0,0,0,5367.85,5607.53,5607.53
88,7,7,0,7,0,0,0,5177.95,5934.6,5934.6
89,16,16,2,14,0,0,0,2706.07,4943.99,5247.92
90,29,29,5,24,0,0,0,1836.45,5487.09,5577.21
91,35,35,1,34,0,0,0,2314.85,4368.05,4715.64
92,109,109,0,109,0,0,0,1508.63,5386.13,5693.46
93,128,128,22,106,0,0,0,5464.51,11922.97,25621.14
94,65,65,56,9,0,0,0,9885.23,13167.9,14426.66
95,46,46,45,1,0,0,0,9455.1,13237.13,20433.13
96,28,28,28,0,0,0,0,8735.69,15700.83,22701.29
97,31,31,31,0,0,0,0,7041.59,8666.32,18613.47
98,21,21,20,1,0,0,0,6414.67,14295.89,15209.26
99,31,31,30,1,0,0,0,4274.76,8912.21,13032.06
100,25,25,24,1,0,0,0,4724.93,11029.58,12973.62
101,20,20,19,1,0,0,0,2940.72,9815.43,11608.98
102,31,31,31,0,0,0,0,2264.72,3927.33,5147.88
103,44,44,44,0,0,0,0,2152.05,7557.14,14583.04
104,88,88,88,0,0,0,0,1358.03,8176.49,14294.76
105,147,147,144,3,0,0,0,1479.23,13241.53,15026.71
106,110,110,104,6,0,0,0,2159.9,8684.25,13286.24
107,67,67,63,4,0,0,0,2797.52,10757.84,11754.55
108,61,61,57,4,0,0,0,2676.15,11800.77,13607.81
109,64,64,61,3,0,0,0,2667.89,11141.83,11719.92
110,69,69,64,5,0,0,0,2807.29,12499.33,13413.19
111,78,78,66,12,0,0,0,1977.4,10554.4,14068.78
112,65,65,54,11,0,0,0,2767.06,8342.78,12409.61
113,72,72,72,0,0,0,0,5869.12,11919.91,12571.31
114,24,24,24,0,0,0,0,4516.14,11430.24,11481.33
115,29,29,29,0,0,0,0,3726.47,10293.35,10408.46
116,23,23,23,0,0,0,0,2351.82,5517.76,9198.02
117,29,29,29,0,0,0,0,1745.43,8191.53,8397.26
118,89,89,89,0,0,0,0,1333.1,7241.95,7625.63
119,131,131,131,0,0,0,0,1660.84,6391.45,6864.27
120,89,89,89,0,0,0,0,3951.62,5920.65,6001.77
121,43,43,43,0,0,0,0,3252.61,4628.28,4819.09
122,48,48,48,0,0,0,0,2934.46,3778.56,3951.27
123,47,47,47,0,0,0,0,1965.0,2806.88,2902.2
124,67,67,67,0,0,0,0,1008.58,1806.19,1879.26
