t_rel_s,peticiones,tps,ok,err_408_presupuesto,err_429_cuota,err_5xx,err_conexion,p50_ms,p95_ms,p99_ms
0,6,6,6,0,0,0,0,30.71,76.27,76.27
1,18,18,18,0,0,0,0,25.55,34.51,37.36
2,32,32,32,0,0,0,0,29.75,34.17,35.49
3,43,43,43,0,0,0,0,27.93,32.75,33.83
4,57,57,57,0,0,0,0,30.0,39.78,40.51
5,68,68,68,0,0,0,0,34.27,44.33,55.62
6,81,81,59,22,0,0,0,269.31,864.41,1040.83
7,94,94,4,90,0,0,0,738.57,906.57,1042.34
8,107,107,0,107,0,0,0,852.27,1108.35,1323.04
9,118,118,0,118,0,0,0,1043.93,1273.46,1522.82
10,125,125,0,125,0,0,0,1291.26,1635.92,2063.32
11,125,125,0,125,0,0,0,1574.0,1898.12,2265.28
12,125,125,0,125,0,0,0,1809.43,2257.98,2399.91
13,125,125,0,125,0,0,0,2256.64,2582.87,2789.99
14,120,120,0,120,0,0,0,2512.56,2923.63,3021.16
15,85,85,0,85,0,0,0,2577.33,2943.26,3293.65
16,104,104,0,104,0,0,0,2750.3,3230.18,3624.77
17,95,95,0,95,0,0,0,3781.53,5362.17,5580.14
18,91,91,0,91,0,0,0,5808.7,7300.83,7766.44
19,67,67,0,67,0,0,0,9352.22,15849.26,16018.54
20,36,36,0,36,0,0,0,11747.35,15306.36,16493.88
21,28,28,0,28,0,0,0,10870.05,13655.79,14549.21
22,34,34,0,34,0,0,0,10252.37,12768.12,14442.83
23,32,32,0,32,0,0,0,9901.67,12741.97,13482.63
24,23,23,0,23,0,0,0,8606.42,11470.37,12037.91
25,43,43,0,43,0,0,0,7116.16,10976.38,11203.31
26,23,23,0,23,0,0,0,6263.63,9155.94,10306.73
28,8,8,0,8,0,0,0,2725.26,3931.9,3931.9
29,10,10,0,10,0,0,0,2420.99,6186.5,6186.5
30,17,17,0,17,0,0,0,1991.96,5071.59,5075.64
31,50,50,3,47,0,0,0,5972.18,13569.34,25206.28
32,79,79,32,47,0,0,0,11532.64,26565.14,27926.57
33,45,45,22,23,0,0,0,10565.46,19996.87,27519.71
34,34,34,15,19,0,0,0,9920.45,18625.25,23318.25
35,31,31,15,16,0,0,0,7898.59,17503.59,24532.04
36,22,22,9,13,0,0,0,8621.18,16178.93,16665.94
37,26,26,11,15,0,0,0,8744.26,15817.51,22478.81
38,11,11,3,8,0,0,0,5679.15,13826.04,15604.06
39,5,5,1,4,0,0,0,4798.7,11747.36,11747.36
40,11,11,1,10,0,0,0,1891.74,10596.1,13698.51
41,15,15,4,11,0,0,0,1337.47,2545.64,6899.35
42,50,50,21,29,0,0,0,1826.62,17639.39,18334.59
43,80,80,40,40,0,0,0,6907.77,14605.17,17160.05
44,50,50,24,26,0,0,0,6401.38,23535.01,25582.72
45,19,19,13,6,0,0,0,4161.12,8405.45,15449.21
46,18,18,11,7,0,0,0,3775.5,9780.54,13398.47
47,18,18,6,12,0,0,0,3443.49,14243.36,15322.13
48,31,31,12,19,0,0,0,2689.01,9288.11,11146.99
49,50,50,13,37,0,0,0,2089.6,11310.38,21199.31
50,66,66,45,21,0,0,0,9523.89,17996.55,18071.99
51,59,59,51,8,0,0,0,8644.15,16924.28,18292.76
52,38,38,33,5,0,0,0,7424.24,16634.21,19276.4
53,36,36,31,5,0,0,0,6948.94,16008.38,19346.84
54,22,22,20,2,0,0,0,6143.77,14883.7,17907.55
55,11,11,9,2,0,0,0,4418.27,12966.99,15017.83
56,17,17,10,7,0,0,0,3312.66,12774.06,14094.32
57,30,30,23,7,0,0,0,2697.22,12167.33,12676.08
58,52,52,42,10,0,0,0,2078.92,12255.76,13089.39
59,45,45,32,13,0,0,0,2169.63,11344.16,11674.7
60,88,88,22,66,0,0,0,7988.16,11722.2,13015.22
61,56,56,3,53,0,0,0,7070.98,9839.12,10395.84
62,16,16,3,13,0,0,0,5878.61,9424.78,11189.86
63,13,13,0,13,0,0,0,5029.11,7438.87,7555.23
64,11,11,0,11,0,0,0,3959.4,5720.49,6889.12
65,19,19,1,18,0,0,0,4436.48,6692.91,7199.42
66,16,16,0,16,0,0,0,1439.21,4430.72,5498.36
67,25,25,0,25,0,0,0,4016.93,6209.35,6332.61
68,110,110,70,40,0,0,0,8404.47,16919.36,22584.05
69,49,49,43,6,0,0,0,9178.5,15610.25,33689.78
70,35,35,32,3,0,0,0,7911.84,13927.82,19306.76
71,32,32,31,1,0,0,0,7237.95,11273.9,12957.72
72,24,24,22,2,0,0,0,6566.4,14575.06,22614.61
73,18,18,16,2,0,0,0,5322.35,12700.26,20946.06
74,29,29,25,4,0,0,0,3954.84,9939.83,19064.35
75,20,20,19,1,0,0,0,3724.28,8495.09,16983.69
76,18,18,18,0,0,0,0,2667.44,4370.47,13405.02
77,47,47,41,6,0,0,0,2265.24,15685.95,16222.04
78,100,100,91,9,0,0,0,1271.02,6451.29,12751.89
79,127,127,100,27,0,0,0,1396.4,8563.9,20654.45
80,110,110,66,44,0,0,0,2325.29,12603.86,15593.98
81,79,79,36,43,0,0,0,2464.39,8484.11,11266.92
82,67,67,19,48,0,0,0,2174.29,12338.93,13056.91
83,65,65,29,36,0,0,0,7540.28,16058.52,26699.24
84,60,60,41,19,0,0,0,7836.53,17889.63,20116.03
85,48,48,32,16,0,0,0,7374.49,16484.38,22730.43
86,35,35,24,11,0,0,0,6644.67,15200.91,16776.97
87,13,13,9,4,0,0,0,3360.5,13354.26,14853.23
88,12,12,8,4,0,0,0,4653.27,23277.81,23416.22
89,19,19,13,6,0,0,0,3876.38,12396.64,14403.36
90,39,39,29,10,0,0,0,3174.08,12003.83,12763.06
91,49,49,29,20,0,0,0,1386.27,14562.41,20337.23
92,70,70,19,51,0,0,0,8588.26,13599.06,26709.78
93,63,63,14,49,0,0,0,8561.25,16556.73,17120.82
94,42,42,4,38,0,0,0,7734.56,11395.61,26266.47
95,32,32,5,27,0,0,0,6481.09,12462.25,20015.98
96,7,7,2,5,0,0,0,6501.97,9214.29,9214.29
97,12,12,1,11,0,0,0,4970.94,7870.79,8456.03
98,17,17,0,17,0,0,0,4138.35,6271.06,6428.75
99,16,16,0,16,0,0,0,1906.01,5434.75,6441.61
100,22,22,0,22,0,0,0,1899.79,4688.38,16921.88
101,83,83,64,19,0,0,0,8215.31,16386.94,19788.3
102,56,56,47,9,0,0,0,8769.44,15992.34,17914.42
103,39,39,33,6,0,0,0,7831.85,14669.71,16200.13
104,34,34,29,5,0,0,0,7221.77,15492.18,18275.35
105,28,28,26,2,0,0,0,4877.24,12994.61,13854.66
106,8,8,5,3,0,0,0,6011.49,13390.62,13390.62
107,19,19,16,3,0,0,0,4527.09,13257.16,13426.23
108,26,26,19,7,0,0,0,2815.43,11270.99,11350.36
109,48,48,34,14,0,0,0,2203.32,9711.38,10797.19
110,57,57,47,10,0,0,0,1304.8,7927.3,10059.74
111,104,104,57,47,0,0,0,6199.98,10824.32,12127.35
112,35,35,24,11,0,0,0,4091.69,9727.76,11148.97
113,29,29,11,18,0,0,0,4670.48,9729.05,10091.63
114,29,29,12,17,0,0,0,4057.89,9034.67,9201.53
115,28,28,7,21,0,0,0,3297.1,6820.47,8089.53
116,36,36,12,24,0,0,0,1784.83,5271.19,6973.98
117,72,72,56,16,0,0,0,5966.29,11341.14,16068.22
118,67,67,67,0,0,0,0,8542.66,11207.3,17005.99
119,41,41,41,0,0,0,0,7439.69,15400.79,16180.0
120,31,31,31,0,0,0,0,7131.89,9278.06,9611.31
121,30,30,30,0,0,0,0,6615.15,13462.99,14277.45
122,22,22,22,0,0,0,0,5977.4,10430.63,12883.3
123,28,28,28,0,0,0,0,3966.82,6314.24,8557.96
124,19,19,19,0,0,0,0,3588.64,9891.36,11004.44
125,26,26,26,0,0,0,0,2239.77,7619.4,9066.42
126,65,65,65,0,0,0,0,1516.77,8741.96,9155.98
127,133,133,133,0,0,0,0,1266.85,7516.78,8059.72
128,122,122,122,0,0,0,0,1930.46,7086.41,7618.42
129,120,120,120,0,0,0,0,5458.97,6419.48,6556.31
130,27,27,27,0,0,0,0,4171.09,5478.73,5583.82
131,23,23,23,0,0,0,0,3794.43,4457.15,4538.39
132,27,27,27,0,0,0,0,2553.12,3565.02,3601.41
133,25,25,25,0,0,0,0,1657.38,2266.03,2483.58
134,77,77,77,0,0,0,0,626.55,1276.22,1455.66
